Year,Mode of Examinations,No. of Examinations,No. of Registered/ Scheduled Candidates
2019,CBT,22,5352852
2019,Pen and Paper,1,1529246
2019,Total,23,6882098
2020,CBT,23,4244102
2020,IBT,9,25973
2020,Pen and Paper,3,1609863
2020,Total,35,5879938
2021,CBT,33,5206556
2021,CBT + Hybrid + Pen and Paper,1,15416
2021,IBT,7,318914
2021,Pen and Paper,3,1771503
2021,RP-OBT,1,16021
2021,Total,45,7328410
2022,CBT,33,7549697
2022,CBT + Hybrid + Pen and Paper,2,132836
2022,IBT,6,243363
2022,Pen and Paper,3,3147410
2022,Total,44,11073306
2023,CBT,57,9669432
2023,Pen and Paper,6,3673820
2023,English Shorthand Test + Typing,3,8289
2023,Total,66,13351541
2024,CBT,12,3340785
2024,CBT + Hybrid + Pen and Paper,4,1470086
2024,English Shorthand Test,2,3779
2024,Interview + Pen and Paper (Descriptive) + Typing Test,7,23007
2024,Pen and Paper,3,3721438
2024,RP-OBT,1,18910
2024,Total,29,8578005
Grand Total,Grand Total,242,53093298
